Quantify Compound Summary Report 

Printed Mon Jul 24 17:06:51 2023

Compound 1:  Ala

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	uM	%Dev
32	32	20230717AY_Sample2-22	Analyte		0.84	326.037	526249.188	0.006	bdI		
33	33	20230717AY_Sample2-23	Analyte		0.09	213.562	465843.688	0.004	bbI		
34	34	20230717AY_Sample2-24	Analyte		0.86	876.594	514572.750	0.015	db	0.0	
35	35	20230717AY_Water7	Analyte		0.86	770.714	519652.781	0.013	bb	0.0	
36	36	20230717AY_Sample2-25	Analyte		1.07	128140.680	384105.563	3.002	bb	1.8	
37	37	20230717AY_Sample2-26	Analyte		1.06	80160.008	399563.625	1.806	bb	1.1	
38	38	20230717AY_Sample2-27	Analyte		1.07	240615.016	377412.469	5.738	bb	3.4	
39	39	20230717AY_Sample2-28	Analyte		1.05	177347.125	362337.469	4.405	MM	2.6	
40	40	20230717AY_Sample2-29	Analyte		1.07	135683.031	375650.656	3.251	bb	1.9	
41	41	20230717AY_Sample2-30	Analyte		1.05	142198.703	371126.625	3.448	bb	2.0	
42	42	20230717AY_Sample2-31	Analyte		1.05	145121.203	355141.875	3.678	bb	2.2	
43	43	20230717AY_Sample2-32	Analyte		1.03	149404.422	357435.719	3.762	bb	2.2	
44	44	20230717AY_Sample2-33	Analyte		1.07	164576.469	353416.094	4.191	MM	2.5	
45	45	20230717AY_Sample2-34	Analyte		1.05	138288.281	370325.063	3.361	bb	2.0	
46	46	20230717AY_Sample2-35	Analyte		1.05	149588.078	364692.719	3.692	bb	2.2	
47	47	20230717AY_Sample2-36	Analyte		1.03	115581.000	358176.094	2.904	bb	1.7	
48	48	20230717AY_Sample2-37	Analyte		1.06	126145.945	356411.156	3.185	bb	1.9	
49	49	20230717AY_Sample2-38	Analyte		1.05	129762.773	340722.906	3.428	bb	2.0	
50	50	20230717AY_Sample2-39	Analyte		1.07	114954.492	347287.281	2.979	MM	1.7	
51	51	20230717AY_Sample2-40	Analyte		1.05	152699.031	322656.375	4.259	MM	2.5	
52	52	20230717AY_Sample2-41	Analyte		1.05	120619.664	327415.031	3.316	bb	1.9	
53	53	20230717AY_Sample2-42	Analyte		1.03	131176.828	337511.063	3.498	bb	2.1	
54	54	20230717AY_Sample2-43	Analyte		1.05	105014.656	254249.438	3.717	bb	2.2	
55	55	20230717AY_Sample2-44	Analyte		1.04	92070.023	259216.469	3.197	bb	1.9	
56	56	20230717AY_Sample2-45	Analyte		1.06	81377.570	270128.156	2.711	bb	1.6	
57	57	20230717AY_Sample2-46	Analyte		1.05	54787.875	294865.594	1.672	bb	1.0	
58	58	20230717AY_Sample2-47	Analyte		1.05	64908.738	278758.594	2.096	MM	1.2	
59	59	20230717AY_Sample2-48	Analyte		1.06	71947.352	284163.375	2.279	bb	1.3	
60	60	20230717AY_Water8	Analyte		0.84	363.124	478147.313	0.007	bbI		
61	61	20230717AY_Sample2-49	Analyte		1.07	232465.313	289572.625	7.225	bb	4.3	
62	62	20230717AY_Sample2-50	Analyte		1.05	391811.000	276548.281	12.751	bb	7.8	
63	63	20230717AY_Sample2-51	Analyte		1.07	216139.281	313686.063	6.201	MM	3.7	
64	64	20230717AY_Sample2-52	Analyte		1.06	145859.438	324527.688	4.045	MM	2.4	
65	65	20230717AY_Sample2-53	Analyte		1.07	240725.828	320979.750	6.750	bb	4.0	
66	66	20230717AY_Sample2-54	Analyte		1.06	451133.688	295016.563	13.763	bb	8.4	
67	67	20230717AY_Sample2-55	Analyte		1.05	336350.375	297120.281	10.188	bb	6.1	
68	68	20230717AY_Sample2-56	Analyte		1.07	318779.313	302028.375	9.499	bb	5.7	
69	69	20230717AY_Sample2-57	Analyte		1.06	311358.719	289227.625	9.689	bb	5.8	
70	70	20230717AY_Sample2-58	Analyte		1.07	349747.031	300982.563	10.458	bb	6.3	
71	71	20230717AY_Sample2-59	Analyte		1.05	296356.969	301429.438	8.849	bb	5.3	
72	72	20230717AY_Sample2-60	Analyte		1.05	345228.219	274793.344	11.307	bb	6.9	
73	73	20230717AY_Sample2-61	Analyte		1.03	593081.938	269279.563	19.822	bb	12.4	
74	74	20230717AY_Sample2-62	Analyte		1.07	619011.750	290719.344	19.163	bb	11.9	
75	75	20230717AY_Sample2-63	Analyte		1.05	550339.938	285984.469	17.319	bb	10.7	
76	76	20230717AY_Sample2-64	Analyte		1.05	557587.875	278333.875	18.030	bb	11.2	
77	77	20230717AY_Sample2-65	Analyte		1.03	655930.250	277534.938	21.271	bb	13.3	
78	78	20230717AY_Sample2-66	Analyte		1.07	654146.250	282250.375	20.858	bb	13.0	
79	79	20230717AY_Sample2-67	Analyte		1.05	219611.063	251697.719	7.853	bb	4.7	
80	80	20230717AY_Sample2-68	Analyte		1.06	139731.391	283723.063	4.432	bb	2.6	
81	81	20230717AY_Sample2-69	Analyte		1.04	126061.313	277291.469	4.092	bb	2.4	
82	82	20230717AY_Sample2-70	Analyte		1.07	162684.797	293332.969	4.991	bb	3.0	
83	83	20230717AY_Sample2-71	Analyte		1.05	191735.344	265058.938	6.510	bb	3.9	
84	84	20230717AY_Sample2-72	Analyte		1.06	213466.984	261408.656	7.349	bb	4.4	
85	85	20230717AY_Water10	Analyte		1.07	568.144	581359.063	0.009	bb	0.0	
86	86	20230717AY_Std4-1	Standard	0.000			551702.000		MM-I		
87	87	20230717AY_Std4-2	Standard	0.100	1.06	11043.704	473078.000	0.210	bb	0.1	17.2
88	88	20230717AY_Std4-3	Standard	0.500	1.06	42695.125	459892.688	0.836	bb	0.5	-3.6
89	89	20230717AY_Std4-4	Standard	1.000	1.04	80855.836	434390.188	1.675	bb	1.0	-2.5
90	90	20230717AY_Std4-5	Standard	5.000	1.07	348572.219	380526.344	8.244	bb	4.9	-1.2
91	91	20230717AY_Std4-6	Standard	10.000	1.06	592546.875	328241.875	16.247	bb	10.0	0.1
92	92	20230717AY_Std4-7	Standard	50.000	1.07	2155865.500	234256.625	82.827	bb	50.3	0.6
93	93	20230717AY_Std4-8	Standard	100.000			192531.891		MM-I		

Compound 2:  Ala*

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	uM	%Dev
1	1	20230717AY_Water5		9.000	1.07	525483.375		525483.375	bd	12.6	39.6
2	2	20230717AY_Std3-1	Standard	9.000	1.08	540928.688		540928.688	bd	12.9	43.7
3	3	20230717AY_Std3-2	Standard	9.000	1.07	456406.563		456406.563	bb	10.9	21.3
4	4	20230717AY_Std3-3	Standard	9.000	1.07	449730.188		449730.188	MM	10.8	19.5
5	5	20230717AY_Std3-4	Standard	9.000	1.05	426107.094		426107.094	bb	10.2	13.2
6	6	20230717AY_Std3-5	Standard	9.000	1.08	371432.594		371432.594	bb	8.9	-1.3
7	7	20230717AY_Std3-6	Standard	9.000	1.07	330586.281		330586.281	bb	7.9	-12.2
8	8	20230717AY_Std3-7	Standard	9.000	1.06	230737.453		230737.453	bb	5.5	-38.7
9	9	20230717AY_Std3-8	Standard	9.000	1.03	162076.094		162076.094	bb	3.9	-56.9
10	10	20230717AY_Water6	Analyte	9.000	1.07	514127.625		514127.625	bd	12.3	36.6
11	11	20230717AY_Sample2-1	Analyte	9.000	1.04	359182.813		359182.813	bb	8.6	-4.6
12	12	20230717AY_Sample2-2	Analyte	9.000	1.07	364662.719		364662.719	bb	8.7	-3.1
13	13	20230717AY_Sample2-3	Analyte	9.000	1.06	349633.719		349633.719	bb	8.4	-7.1
14	14	20230717AY_Sample2-4	Analyte	9.000	1.07	464124.750		464124.750	bb	11.1	23.3
15	15	20230717AY_Sample2-5	Analyte	9.000	1.07	458272.688		458272.688	bb	11.0	21.7
16	16	20230717AY_Sample2-6	Analyte	9.000	1.08	533038.188		533038.188	bd	12.7	41.6
17	17	20230717AY_Sample2-7	Analyte	9.000	1.06	405963.500		405963.500	bb	9.7	7.9
18	18	20230717AY_Sample2-8	Analyte	9.000	1.06	380840.594		380840.594	bb	9.1	1.2
19	19	20230717AY_Sample2-9	Analyte	9.000	1.07	398061.344		398061.344	bb	9.5	5.8
20	20	20230717AY_Sample2-10	Analyte	9.000	1.07	472806.938		472806.938	bb	11.3	25.6
21	21	20230717AY_Sample2-11	Analyte	9.000	1.07	530967.875		530967.875	bd	12.7	41.1
22	22	20230717AY_Sample2-12	Analyte	9.000	1.07	526410.438		526410.438	bd	12.6	39.8
23	23	20230717AY_Sample2-13	Analyte	9.000	1.07	330584.969		330584.969	bb	7.9	-12.2
24	24	20230717AY_Sample2-14	Analyte	9.000	1.05	317111.719		317111.719	bb	7.6	-15.8
25	25	20230717AY_Sample2-15	Analyte	9.000	1.07	320202.125		320202.125	bb	7.7	-14.9
26	26	20230717AY_Sample2-16	Analyte	9.000	1.07	505081.500		505081.500	bd	12.1	34.2
27	27	20230717AY_Sample2-17	Analyte	9.000	1.07	513903.719		513903.719	bd	12.3	36.5
28	28	20230717AY_Sample2-18	Analyte	9.000	1.07	532422.313		532422.313	bd	12.7	41.4
29	29	20230717AY_Sample2-19	Analyte	9.000	1.07	372851.281		372851.281	bb	8.9	-0.9
30	30	20230717AY_Sample2-20	Analyte	9.000	1.05	359557.125		359557.125	bb	8.6	-4.5
31	31	20230717AY_Sample2-21	Analyte	9.000	1.06	339634.781		339634.781	bb	8.1	-9.8
32	32	20230717AY_Sample2-22	Analyte	9.000	1.07	526249.188		526249.188	bd	12.6	39.8
33	33	20230717AY_Sample2-23	Analyte	9.000	1.08	465843.688		465843.688	bb	11.1	23.8
34	34	20230717AY_Sample2-24	Analyte	9.000	1.07	514572.750		514572.750	bd	12.3	36.7
35	35	20230717AY_Water7	Analyte	9.000	1.06	519652.781		519652.781	bd	12.4	38.1
36	36	20230717AY_Sample2-25	Analyte	9.000	1.07	384105.563		384105.563	MM	9.2	2.0
37	37	20230717AY_Sample2-26	Analyte	9.000	1.07	399563.625		399563.625	bb	9.6	6.2
38	38	20230717AY_Sample2-27	Analyte	9.000	1.07	377412.469		377412.469	bb	9.0	0.3
39	39	20230717AY_Sample2-28	Analyte	9.000	1.06	362337.469		362337.469	bb	8.7	-3.7
40	40	20230717AY_Sample2-29	Analyte	9.000	1.07	375650.656		375650.656	MM	9.0	-0.2
41	41	20230717AY_Sample2-30	Analyte	9.000	1.06	371126.625		371126.625	bb	8.9	-1.4
42	42	20230717AY_Sample2-31	Analyte	9.000	1.05	355141.875		355141.875	bb	8.5	-5.7
43	43	20230717AY_Sample2-32	Analyte	9.000	1.04	357435.719		357435.719	bb	8.5	-5.0
44	44	20230717AY_Sample2-33	Analyte	9.000	1.07	353416.094		353416.094	bb	8.5	-6.1
45	45	20230717AY_Sample2-34	Analyte	9.000	1.06	370325.063		370325.063	MM	8.9	-1.6
46	46	20230717AY_Sample2-35	Analyte	9.000	1.06	364692.719		364692.719	MM	8.7	-3.1
47	47	20230717AY_Sample2-36	Analyte	9.000	1.04	358176.094		358176.094	bb	8.6	-4.8
48	48	20230717AY_Sample2-37	Analyte	9.000	1.07	356411.156		356411.156	bb	8.5	-5.3
49	49	20230717AY_Sample2-38	Analyte	9.000	1.05	340722.906		340722.906	bb	8.1	-9.5
50	50	20230717AY_Sample2-39	Analyte	9.000	1.07	347287.281		347287.281	bb	8.3	-7.7
51	51	20230717AY_Sample2-40	Analyte	9.000	1.05	322656.375		322656.375	bb	7.7	-14.3
52	52	20230717AY_Sample2-41	Analyte	9.000	1.05	327415.031		327415.031	bb	7.8	-13.0
53	53	20230717AY_Sample2-42	Analyte	9.000	1.04	337511.063		337511.063	MM	8.1	-10.3
54	54	20230717AY_Sample2-43	Analyte	9.000	1.06	254249.438		254249.438	bb	6.1	-32.5
55	55	20230717AY_Sample2-44	Analyte	9.000	1.04	259216.469		259216.469	MM	6.2	-31.1
56	56	20230717AY_Sample2-45	Analyte	9.000	1.06	270128.156		270128.156	bb	6.5	-28.2
57	57	20230717AY_Sample2-46	Analyte	9.000	1.05	294865.594		294865.594	bb	7.1	-21.7
58	58	20230717AY_Sample2-47	Analyte	9.000	1.05	278758.594		278758.594	bb	6.7	-25.9
59	59	20230717AY_Sample2-48	Analyte	9.000	1.06	284163.375		284163.375	bb	6.8	-24.5
60	60	20230717AY_Water8	Analyte	9.000	1.07	478147.313		478147.313	bd	11.4	27.0
61	61	20230717AY_Sample2-49	Analyte	9.000	1.07	289572.625		289572.625	bb	6.9	-23.1
62	62	20230717AY_Sample2-50	Analyte	9.000	1.05	276548.281		276548.281	bb	6.6	-26.5
63	63	20230717AY_Sample2-51	Analyte	9.000	1.07	313686.063		313686.063	bb	7.5	-16.7
64	64	20230717AY_Sample2-52	Analyte	9.000	1.07	324527.688		324527.688	bb	7.8	-13.8
65	65	20230717AY_Sample2-53	Analyte	9.000	1.07	320979.750		320979.750	bb	7.7	-14.7
66	66	20230717AY_Sample2-54	Analyte	9.000	1.06	295016.563		295016.563	bb	7.1	-21.6
67	67	20230717AY_Sample2-55	Analyte	9.000	1.06	297120.281		297120.281	bb	7.1	-21.1
68	68	20230717AY_Sample2-56	Analyte	9.000	1.07	302028.375		302028.375	bb	7.2	-19.8
69	69	20230717AY_Sample2-57	Analyte	9.000	1.06	289227.625		289227.625	MM	6.9	-23.2
70	70	20230717AY_Sample2-58	Analyte	9.000	1.07	300982.563		300982.563	bb	7.2	-20.0
71	71	20230717AY_Sample2-59	Analyte	9.000	1.06	301429.438		301429.438	bb	7.2	-19.9
72	72	20230717AY_Sample2-60	Analyte	9.000	1.06	274793.344		274793.344	bb	6.6	-27.0
73	73	20230717AY_Sample2-61	Analyte	9.000	1.04	269279.563		269279.563	bb	6.4	-28.5
74	74	20230717AY_Sample2-62	Analyte	9.000	1.07	290719.344		290719.344	bb	7.0	-22.8
75	75	20230717AY_Sample2-63	Analyte	9.000	1.06	285984.469		285984.469	bb	6.8	-24.0
76	76	20230717AY_Sample2-64	Analyte	9.000	1.06	278333.875		278333.875	bb	6.7	-26.1
77	77	20230717AY_Sample2-65	Analyte	9.000	1.04	277534.938		277534.938	MM	6.6	-26.3
78	78	20230717AY_Sample2-66	Analyte	9.000	1.07	282250.375		282250.375	bb	6.7	-25.0
79	79	20230717AY_Sample2-67	Analyte	9.000	1.05	251697.719		251697.719	bb	6.0	-33.1
80	80	20230717AY_Sample2-68	Analyte	9.000	1.06	283723.063		283723.063	bb	6.8	-24.6
81	81	20230717AY_Sample2-69	Analyte	9.000	1.04	277291.469		277291.469	MM	6.6	-26.3
82	82	20230717AY_Sample2-70	Analyte	9.000	1.07	293332.969		293332.969	bb	7.0	-22.1
83	83	20230717AY_Sample2-71	Analyte	9.000	1.05	265058.938		265058.938	bb	6.3	-29.6
84	84	20230717AY_Sample2-72	Analyte	9.000	1.07	261408.656		261408.656	MM	6.3	-30.6
85	85	20230717AY_Water10	Analyte	9.000	1.07	581359.063		581359.063	bb	13.9	54.4
86	86	20230717AY_Std4-1	Standard	9.000	1.07	551702.000		551702.000	bd	13.2	46.6
87	87	20230717AY_Std4-2	Standard	9.000	1.07	473078.000		473078.000	bb	11.3	25.7
88	88	20230717AY_Std4-3	Standard	9.000	1.07	459892.688		459892.688	bb	11.0	22.2
89	89	20230717AY_Std4-4	Standard	9.000	1.05	434390.188		434390.188	MM	10.4	15.4
90	90	20230717AY_Std4-5	Standard	9.000	1.08	380526.344		380526.344	MM	9.1	1.1
91	91	20230717AY_Std4-6	Standard	9.000	1.07	328241.875		328241.875	bb	7.8	-12.8
92	92	20230717AY_Std4-7	Standard	9.000	1.07	234256.625		234256.625	bb	5.6	-37.8
93	93	20230717AY_Std4-8	Standard	9.000	1.04	192531.891		192531.891	bd	4.6	-48.9

Compound 3:  Arg

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	uM	%Dev
1	1	20230717AY_Water5			3.97	322371.250	25418712.000	0.057	ddI		
2	2	20230717AY_Std3-1	Standard	0.000			27471436.000		MM-I		
3	3	20230717AY_Std3-2	Standard	0.100	3.97	576836.375	26901876.000	0.096	MM	0.1	-22.6
4	4	20230717AY_Std3-3	Standard	0.500	3.97	1545982.875	26440832.000	0.263	MM	0.5	9.5
5	5	20230717AY_Std3-4	Standard	1.000	3.96	2930190.500	27254402.000	0.484	MM	1.1	13.1
6	6	20230717AY_Std3-5	Standard	5.000	3.97	13581675.000	25924154.000	2.358	MM	5.1	2.2
7	7	20230717AY_Std3-6	Standard	10.000	3.97	32104956.000	25313142.000	5.707	MM	10.4	4.5
8	8	20230717AY_Std3-7	Standard	50.000			14764434.000		MM-I		
9	9	20230717AY_Std3-8	Standard	100.000			9891545.000		MM-I		
10	10	20230717AY_Water6	Analyte		3.97	395845.625	28444778.000	0.063	MMI		
11	11	20230717AY_Sample2-1	Analyte		3.93	33024942.000	24163414.000	6.150	MM	11.1	
12	12	20230717AY_Sample2-2	Analyte		3.97	30527440.000	23782484.000	5.776	MM	10.5	
13	13	20230717AY_Sample2-3	Analyte		3.97	31138962.000	23079532.000	6.071	MM	11.0	
14	14	20230717AY_Sample2-4	Analyte		3.97	283401.125	27714932.000	0.046	MMI		
15	15	20230717AY_Sample2-5	Analyte		3.97	208904.563	27586454.000	0.034	ddI		
16	16	20230717AY_Sample2-6	Analyte		3.97	189782.797	27753330.000	0.031	ddI		
17	17	20230717AY_Sample2-7	Analyte		3.97	9745423.000	23361656.000	1.877	MM	4.2	
18	18	20230717AY_Sample2-8	Analyte		3.96	9525174.000	23588426.000	1.817	MM	4.1	
19	19	20230717AY_Sample2-9	Analyte		3.97	9542731.000	24523190.000	1.751	MM	4.0	
20	20	20230717AY_Sample2-10	Analyte		3.96	219193.766	28392180.000	0.035	ddI		
21	21	20230717AY_Sample2-11	Analyte		3.97	194531.516	26948300.000	0.032	ddI		
22	22	20230717AY_Sample2-12	Analyte		3.96	213124.484	28013992.000	0.034	ddI		
23	23	20230717AY_Sample2-13	Analyte		3.97	3012444.750	24554040.000	0.552	MM	1.3	
24	24	20230717AY_Sample2-14	Analyte		3.96	3047508.500	23342302.000	0.588	MM	1.4	
25	25	20230717AY_Sample2-15	Analyte		3.96	3089708.250	24321862.000	0.572	MM	1.4	
26	26	20230717AY_Sample2-16	Analyte		3.96	196853.641	26705058.000	0.033	ddI		
27	27	20230717AY_Sample2-17	Analyte		3.96	185235.344	27223410.000	0.031	ddI		
28	28	20230717AY_Sample2-18	Analyte		3.96	206005.406	27214682.000	0.034	ddI		
29	29	20230717AY_Sample2-19	Analyte		3.97	1263257.750	24193384.000	0.235	MM	0.5	
30	30	20230717AY_Sample2-20	Analyte		3.96	1302139.250	23402122.000	0.250	MM	0.5	
31	31	20230717AY_Sample2-21	Analyte		3.95	1293675.500	23759614.000	0.245	MM	0.5	
32	32	20230717AY_Sample2-22	Analyte		3.96	180008.813	28462990.000	0.028	bdI		
33	33	20230717AY_Sample2-23	Analyte		3.96	179502.703	27516492.000	0.029	bdI		
34	34	20230717AY_Sample2-24	Analyte		3.94	198890.453	27802812.000	0.032	ddI		
35	35	20230717AY_Water7	Analyte		3.95	203967.516	26298604.000	0.035	ddI		
36	36	20230717AY_Sample2-25	Analyte		3.96	21053256.000	24075404.000	3.935	MM	7.8	
37	37	20230717AY_Sample2-26	Analyte		3.96	18404308.000	25337742.000	3.269	MM	6.7	
38	38	20230717AY_Sample2-27	Analyte		3.96	24628296.000	22593000.000	4.905	MM	9.3	
39	39	20230717AY_Sample2-28	Analyte		3.96	24575796.000	23531156.000	4.700	MM	9.0	
40	40	20230717AY_Sample2-29	Analyte		3.96	28719228.000	24742776.000	5.223	MM	9.7	
41	41	20230717AY_Sample2-30	Analyte		3.96	21689986.000	23556434.000	4.143	MM	8.1	
42	42	20230717AY_Sample2-31	Analyte		3.96	24913678.000	23015426.000	4.871	MM	9.2	
43	43	20230717AY_Sample2-32	Analyte		3.92	24674980.000	24174706.000	4.593	MM	8.8	
44	44	20230717AY_Sample2-33	Analyte		3.97	23505236.000	23556574.000	4.490	MM	8.6	
45	45	20230717AY_Sample2-34	Analyte		3.96	24382802.000	23751526.000	4.620	MM	8.8	
46	46	20230717AY_Sample2-35	Analyte		3.96	22880818.000	23711812.000	4.342	MM	8.4	
47	47	20230717AY_Sample2-36	Analyte		3.96	16186700.000	22965492.000	3.172	MM	6.5	
48	48	20230717AY_Sample2-37	Analyte		3.97	27016952.000	23829078.000	5.102	MM	9.6	
49	49	20230717AY_Sample2-38	Analyte		3.97	25988350.000	23302040.000	5.019	MM	9.4	
50	50	20230717AY_Sample2-39	Analyte		3.97	24328500.000	23783480.000	4.603	MM	8.8	
51	51	20230717AY_Sample2-40	Analyte		3.97	21804976.000	23489928.000	4.177	MM	8.2	
52	52	20230717AY_Sample2-41	Analyte		3.97	19291330.000	23636936.000	3.673	MM	7.4	
53	53	20230717AY_Sample2-42	Analyte		3.96	30797308.000	24172364.000	5.733	MM	10.5	
54	54	20230717AY_Sample2-43	Analyte		3.97	24275330.000	23860414.000	4.578	MM	8.8	
55	55	20230717AY_Sample2-44	Analyte		3.97	22006142.000	24256248.000	4.083	MM	8.0	
56	56	20230717AY_Sample2-45	Analyte		3.97	18827594.000	24464238.000	3.463	MM	7.0	
57	57	20230717AY_Sample2-46	Analyte		3.97	14958323.000	25118124.000	2.680	MM	5.7	
58	58	20230717AY_Sample2-47	Analyte		3.97	13756354.000	24697446.000	2.506	MM	5.4	
59	59	20230717AY_Sample2-48	Analyte		3.98	18336632.000	24504698.000	3.367	MM	6.9	
60	60	20230717AY_Water8	Analyte		3.97	205542.578	26119724.000	0.035	ddI		
61	61	20230717AY_Sample2-49	Analyte		3.98	27703914.000	25299170.000	4.928	MM	9.3	
62	62	20230717AY_Sample2-50	Analyte		3.97	15795805.000	22600652.000	3.145	MM	6.5	
63	63	20230717AY_Sample2-51	Analyte		3.98	23643716.000	25135842.000	4.233	MM	8.3	
64	64	20230717AY_Sample2-52	Analyte		3.97	45696116.000	26287032.000	7.823	MM	13.3	
65	65	20230717AY_Sample2-53	Analyte		3.98	39470756.000	25973444.000	6.838	MM	12.0	
66	66	20230717AY_Sample2-54	Analyte		3.97	19876132.000	24352228.000	3.673	MM	7.4	
67	67	20230717AY_Sample2-55	Analyte		3.97	41896828.000	25269070.000	7.461	MM	12.9	
68	68	20230717AY_Sample2-56	Analyte		3.98	65972416.000	24744176.000	11.998	MM	18.6	
69	69	20230717AY_Sample2-57	Analyte		3.97	51166044.000	24510068.000	9.394	MM	15.4	
70	70	20230717AY_Sample2-58	Analyte		3.98	44005768.000	24876698.000	7.960	MM	13.5	
71	71	20230717AY_Sample2-59	Analyte		3.97	73379544.000	24655082.000	13.393	bd	20.3	
72	72	20230717AY_Sample2-60	Analyte		3.97	43992128.000	23338738.000	8.482	MM	14.2	
73	73	20230717AY_Sample2-61	Analyte		3.93	60450940.000	20389810.000	13.341	dd	20.3	
74	74	20230717AY_Sample2-62	Analyte		3.98	60873840.000	20677122.000	13.248	MM	20.1	
75	75	20230717AY_Sample2-63	Analyte		3.97	59865708.000	20376322.000	13.221	MM	20.1	
76	76	20230717AY_Sample2-64	Analyte		3.97	56080604.000	20931578.000	12.057	bb	18.7	
77	77	20230717AY_Sample2-65	Analyte		3.93	77794808.000	20026918.000	17.480	bd	25.3	
78	78	20230717AY_Sample2-66	Analyte		3.97	59464636.000	20566032.000	13.011	MM	19.9	
79	79	20230717AY_Sample2-67	Analyte		3.97	45331712.000	24913980.000	8.188	MM	13.8	
80	80	20230717AY_Sample2-68	Analyte		3.97	61125436.000	26287986.000	10.464	bb	16.7	
81	81	20230717AY_Sample2-69	Analyte		3.95	51183096.000	24812948.000	9.282	MM	15.2	
82	82	20230717AY_Sample2-70	Analyte		3.98	50838664.000	25557178.000	8.951	MM	14.8	
83	83	20230717AY_Sample2-71	Analyte		3.97	50235476.000	24465352.000	9.240	MM	15.2	
84	84	20230717AY_Sample2-72	Analyte		3.98	54948856.000	24299034.000	10.176	MM	16.4	
85	85	20230717AY_Water10	Analyte		3.97	185100.359	26011284.000	0.032	bdI		
86	86	20230717AY_Std4-1	Standard	0.000			27364548.000		MM-I		
87	87	20230717AY_Std4-2	Standard	0.100	3.97	532339.375	24808304.000	0.097	MM	0.1	-22.4
88	88	20230717AY_Std4-3	Standard	0.500	3.97	1487947.750	27163024.000	0.247	MM	0.5	0.4
89	89	20230717AY_Std4-4	Standard	1.000	3.97	2963745.500	27735964.000	0.481	MM	1.1	12.4
90	90	20230717AY_Std4-5	Standard	5.000	3.98	14095701.000	28878276.000	2.196	MM	4.8	-3.8
91	91	20230717AY_Std4-6	Standard	10.000	3.97	29688934.000	26198370.000	5.100	MM	9.6	-4.4
92	92	20230717AY_Std4-7	Standard	50.000	3.96	98846352.000	15282608.000	29.106	bb	47.3	-5.4
