Sample ID,Samp Number,Sample Units,Analyte Name,Elem,Wavelength,Int (Corr),RSD (Corr Int),SD (Corr Int),Conc (Calib),Conc (Samp),Reported Conc (Calib),Reported Conc (Samp),RSD (Conc),SD (Calib),SD (Samp),Calib Units,Samp Units,Repl No1,Date1,Time1,Repl No2,Date2,Time2,Repl No3,Date3,Time3
C1c,61, ,Na 589.592,Na,589.595,499965.3318,0.417012898,2084.91992,0.211659576,0.211659576,0.212,0.212,0.244379707,0.000517253,0.000517253,mg/L,mg/L,1,3/31/22,2:25:49 PM,2,3/31/22,2:25:52 PM,3,3/31/22,2:25:54 PM
C2c,62, ,Na 589.592,Na,589.595,377687.7519,0.50165282,1894.68126,0.181323422,0.181323422,0.181,0.181,0.259236372,0.000470056,0.000470056,mg/L,mg/L,1,3/31/22,2:29:46 PM,2,3/31/22,2:29:49 PM,3,3/31/22,2:29:51 PM
C3c,63, ,Na 589.592,Na,589.595,273396.9076,1.437691868,3930.605109,0.155449643,0.155449643,0.155,0.155,0.627311672,0.000975154,0.000975154,mg/L,mg/L,1,3/31/22,2:33:49 PM,2,3/31/22,2:33:51 PM,3,3/31/22,2:33:53 PM
,,,,,,,,,Na CALIB AVG,0.185461946,,,,,,,,,,,,,,,,
C1,1, ,Zn 206.200,Zn,206.201,309.6639005,4.628403568,14.33249502,0.007711248,0.007711248,0.008,0.008,1.786263966,0.000137743,0.000137743,mg/L,mg/L,1,3/31/22,10:14:25 AM,2,3/31/22,10:14:35 AM,3,3/31/22,10:14:46 AM
C2,2, ,Zn 206.200,Zn,206.201,214.5627334,8.151642131,17.49038617,0.006797273,0.006797273,0.007,0.007,2.472937834,0.000168092,0.000168092,mg/L,mg/L,1,3/31/22,10:18:34 AM,2,3/31/22,10:18:44 AM,3,3/31/22,10:18:54 AM
C3,3, ,Zn 206.200,Zn,206.201,159.4242572,2.469156971,3.93643516,0.006267362,0.006267362,0.006,0.006,0.603624508,3.78E-05,3.78E-05,mg/L,mg/L,1,3/31/22,10:22:42 AM,2,3/31/22,10:22:52 AM,3,3/31/22,10:23:01 AM
C1b,24, ,Zn 206.200,Zn,206.201,329.5565608,2.301951585,7.586232474,0.007902428,0.007902428,0.008,0.008,0.922601453,7.29E-05,7.29E-05,mg/L,mg/L,1,3/31/22,11:58:08 AM,2,3/31/22,11:58:18 AM,3,3/31/22,11:58:26 AM
C2b,25, ,Zn 206.200,Zn,206.201,265.1072808,10.24117394,27.15009776,0.007283034,0.007283034,0.007,0.007,3.582676225,0.000260928,0.000260928,mg/L,mg/L,1,3/31/22,12:02:07 PM,2,3/31/22,12:02:17 PM,3,3/31/22,12:02:25 PM
C3b,26, ,Zn 206.200,Zn,206.201,187.7591652,11.56256373,21.70977314,0.006539676,0.006539676,0.007,0.007,3.190417945,0.000208643,0.000208643,mg/L,mg/L,1,3/31/22,12:06:05 PM,2,3/31/22,12:06:15 PM,3,3/31/22,12:06:23 PM
C1c,61, ,Zn 206.200,Zn,206.201,312.5809677,2.822496716,8.822587549,0.007739283,0.007739283,0.008,0.008,1.095579198,8.48E-05,8.48E-05,mg/L,mg/L,1,3/31/22,2:26:25 PM,2,3/31/22,2:26:33 PM,3,3/31/22,2:26:41 PM
C2c,62, ,Zn 206.200,Zn,206.201,265.9934048,4.125908566,10.97464467,0.00729155,0.00729155,0.007,0.007,1.446502214,0.000105472,0.000105472,mg/L,mg/L,1,3/31/22,2:30:23 PM,2,3/31/22,2:30:31 PM,3,3/31/22,2:30:39 PM
C3c,63, ,Zn 206.200,Zn,206.201,213.6356898,7.787767779,16.63745141,0.006788364,0.006788364,0.007,0.007,2.355430086,0.000159895,0.000159895,mg/L,mg/L,1,3/31/22,2:34:25 PM,2,3/31/22,2:34:34 PM,3,3/31/22,2:34:41 PM
,,,,,,,,,Zn CALIB AVG,0.007146691,,,,,,,,,,,,,,,,
